"구분",화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
"공중화장실",가문동포구,제주특별자치도 제주시 애월읍 하귀2리 2729-1,제주특별자치도 제주시 애월읍 하귀2리 2729-1,N,1,1,0,0,0,0,2,0,0,제주시 애월읍,064-728-8848,24시간,,33.48673416,126.3924127,2018-08-17
"공중화장실",감수탕,제주특별자치도 제주시 감수북길 41,,N,1,2,0,0,0,0,2,0,0,제주시 삼양동,064-728-8177,24시간,,33.52566485,126.5840314,2018-08-17
"공중화장실",검멀레,제주특별자치도 제주시 우도면 우도해안길 1142,,N,3,4,0,0,0,0,3,0,0,제주시 우도면,064-728-4342,24시간,,33.49811179,126.9666304,2018-08-17
"공중화장실",검멀레 주차장,제주특별자치도 제주시 우도면 우도해안길 1122,,N,1,2,0,0,0,0,3,0,0,제주시 우도면,064-728-4342,24시간,,33.497541,126.9684667,2018-08-17
"공중화장실",고내봉산책로,제주특별자치도 제주시 애월읍 고하상로 78-5,,N,1,1,0,0,0,0,1,0,0,제주시 애월읍,064-728-8848,24시간,,33.4578799,126.3447592,2018-08-17
"공중화장실",고산수월봉,제주특별자치도 제주시 한경면 고산리 3758-2,제주특별자치도 제주시 한경면 고산리 3758-2,N,2,3,1,1,1,0,5,1,1,제주시 한경면,064-728-7952,24시간,,33.29450035,126.1637155,2018-08-17
"공중화장실",고산엉알,제주특별자치도 제주시 한경면 고산리 3653-3,제주특별자치도 제주시 한경면 고산리 3653-3,N,1,1,0,0,0,0,2,0,0,제주시 한경면,064-728-7952,24시간,,33.30317952,126.1659816,2018-08-17
"공중화장실",공항입구주차장,제주특별자치도 제주시 다호북길 7,제주특별자치도 제주시 애월읍 곽지리 1565-20,N,1,4,0,0,0,0,2,0,0,제주시 차량관리과,064-728-3246,연중무휴,,33.50368126,126.4957122,2018-08-17
"공중화장실",곽지과물해변통시,제주특별자치도 제주시 애월읍 곽지리 1565,제주특별자치도 제주시 애월읍 곽지리 1565,N,2,5,1,1,0,1,7,1,1,제주시 애월읍,064-728-8848,24시간,,33.45076506,126.3045746,2018-08-17
"공중화장실",곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1566,제주특별자치도 제주시 애월읍 곽지리 1566,N,5,8,1,1,0,0,8,1,0,제주시 애월읍,064-728-8848,24시간,,33.44995643,126.3041171,2018-08-17
"공중화장실",곽지해수욕장서측주차장,제주특별자치도 제주시 애월읍 곽지리 1566,제주특별자치도 제주시 애월읍 곽지리 1566,N,1,0,0,0,0,0,1,0,0,제주시 애월읍,064-728-8848,24시간,,33.44995643,126.3041171,2018-08-17
"공중화장실",관음사신비의도로,제주특별자치도 제주시 산록북로 811,,N,2,2,1,1,0,0,3,1,0,제주시 관광진흥과,064-728-2763,24시간,,33.48295235,126.4719591,2018-08-17
"공중화장실",광령저수지 남쪽,제주특별자치도 제주시 애월읍 광령리 3602-2,제주특별자치도 제주시 애월읍 광령리 3602-2,N,1,0,0,0,0,0,1,0,0,제주시 애월읍,064-728-8848,24시간,,33.4700452,126.4260684,2018-08-17
"공중화장실",교래마을운동장,제주특별자치도 제주시 조천읍 교래리 188,제주특별자치도 제주시 조천읍 교래리 188,N,1,1,0,0,0,0,2,0,0,제주시 조천읍,064-728-7863,24시간,,33.42289933,126.6752855,2018-08-17
"공중화장실",구좌공설묘지,제주특별자치도 제주시 구좌읍 송당리 54-1,제주특별자치도 제주시 구좌읍 송당리 54-1,N,1,1,0,0,0,0,2,0,0,제주시 구좌읍,064-728-7745,24시간,,33.45508148,126.7979111,2018-08-17
"공중화장실",구좌충혼묘지,제주특별자치도 제주시 구좌읍 세화리 1085-1,제주특별자치도 제주시 구좌읍 세화리 1085-1,N,2,1,1,0,0,0,2,1,0,제주시 구좌읍,064-728-7745,24시간,,33.51680436,126.8510077,2018-08-17
"공중화장실",궤물동산,제주특별자치도 제주시 한림읍 귀덕리 3025-2,제주특별자치도 제주시 한림읍 귀덕리 3025-2,N,1,1,0,0,0,0,1,0,0,제주시 한림읍,064-728-7656,24시간,,33.44248034,126.2894977,2018-08-17
"공중화장실",궤물오름주차장(남),제주특별자치도 제주시 애월읍 유수암리 1181-2,제주특별자치도 제주시 애월읍 유수암리 1181-2,N,2,1,1,1,0,0,0,0,0,제주시 애월읍,064-728-8848,24시간,,33.40722054,126.4088088,2018-08-17
"공중화장실",궤물오름주차장(여),제주특별자치도 제주시 애월읍 유수암리 산 107-5,제주특별자치도 제주시 애월읍 유수암리 산 107-5,N,0,1,0,0,0,0,2,1,0,제주시 애월읍,064-728-8848,24시간,,33.39911926,126.4076988,2018-08-17
"공중화장실",귀덕1리동방파제,제주특별자치도 제주시 한림읍 귀덕11길 23-3,,N,1,1,1,1,0,0,2,1,0,제주시 한림읍,064-728-7656,24시간,,33.44564518,126.2941136,2018-08-17
"공중화장실",귀덕2리방파제,제주특별자치도 제주시 한림읍 한림해안로 621,,N,1,2,0,0,0,0,2,0,0,제주시 한림읍,064-728-7656,24시간,,33.44248386,126.2786687,2018-08-17
"공중화장실",귀덕3리게이트볼장,제주특별자치도 제주시 한림읍 귀덕리 2194-1,제주특별자치도 제주시 한림읍 귀덕리 2194-1,Y,1,1,0,0,0,0,0,0,0,제주시 한림읍,064-728-7656,24시간,,33.4167923,126.2964837,2018-08-17
"공중화장실",금능해수욕장,제주특별자치도 제주시 한림읍 금능리 119-10,제주특별자치도 제주시 한림읍 금능리 119-10,N,4,7,1,0,0,0,8,1,0,제주시 한림읍,064-728-7656,24시간,,33.36319737,126.253779,2018-08-17
"공중화장실",금악오름,제주특별자치도 제주시 한림읍 금악리 1210,제주특별자치도 제주시 한림읍 금악리 1210,N,1,1,0,0,0,0,2,0,0,제주시 한림읍,064-728-7656,24시간,,33.35098775,126.3056828,2018-08-17
"공중화장실",기상청 인근 화장실,제주특별자치도 제주시 만덕로6길 24-6,,N,2,1,0,0,0,0,2,0,0,제주시 일도1동,064-728-4416,24시간,,33.51359885,126.5295624,2018-08-17
"공중화장실",김녕해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 9,,N,3,4,1,1,0,0,4,1,0,제주시 구좌읍,064-728-7745,24시간,,33.55689241,126.7604722,2018-08-17
"공중화장실",낙천테마마을,제주특별자치도 제주시 한경면 낙수로 97,,N,2,1,0,0,0,0,2,0,0,제주시 한경면,064-728-7952,24시간,,33.32790886,126.2262595,2018-08-17
"공중화장실",남또르쉼터,제주특별자치도 제주시 애월읍 신엄리 2802,제주특별자치도 제주시 애월읍 신엄리 2802,N,1,1,0,0,0,0,1,0,0,제주시 애월읍,064-728-8848,24시간,,33.47687387,126.3548014,2018-08-17
"공중화장실",남생이못,제주특별자치도 제주시 조천읍 신촌리 2497,제주특별자치도 제주시 조천읍 신촌리 2497,N,1,1,0,0,0,0,1,0,0,제주시 조천읍,064-728-7863,24시간,,33.53283874,126.6141117,2018-08-17
"공중화장실",남조봉공원(민오름),제주특별자치도 제주시 오라2동 산 21,제주특별자치도 제주시 오라2동 산 21,N,1,1,0,0,0,0,3,0,0,제주시 공원녹지과,064-728-3605,24시간,,33.47763925,126.5057693,2018-08-17
"공중화장실",납읍난대림,제주특별자치도 제주시 애월읍 납읍로2길 36,,N,3,3,1,1,0,0,6,1,0,제주시 애월읍,064-728-8848,24시간,,33.43569075,126.3298036,2018-08-17
"공중화장실",노루생태관찰원,제주특별자치도 제주시 명림로 520,,N,3,3,1,1,0,5,1,0,0,제주시 절물생태관리사무소,064-728-3636,07:00~18:00,,33.44434339,126.6266932,2018-08-17
"공중화장실",노루생태관찰원,제주특별자치도 제주시 명림로 520,,N,3,3,1,1,0,6,1,0,0,제주시 절물생태관리사무소,064-728-3636,07:00~18:00,,33.44434339,126.6266932,2018-08-17
"공중화장실",노형근린공원,제주특별자치도 제주시 과원북로4길 12,,N,3,5,1,1,0,0,5,1,0,제주시 공원녹지과,064-728-3605,24시간,,33.48295235,126.4719591,2018-08-17
"공중화장실",노형신비의도로,제주특별자치도 제주시 노형동 291-25,제주특별자치도 제주시 노형동 291-25,N,2,3,1,1,0,0,5,1,0,제주시 관광진흥과,064-728-2763,24시간,,33.449836,126.487274,2018-08-17
"공중화장실",노형제1근린공원,제주특별자치도 제주시 정존5길 67,,N,4,4,1,1,0,0,6,1,0,제주시 공원녹지과,064-728-3605,24시간,,33.48655225,126.4692491,2018-08-17
"공중화장실",노형제2근린공원,제주특별자치도 제주시 월광로 116,,N,4,4,1,1,0,0,6,1,0,제주시 공원녹지과,064-728-3605,24시간,,33.48925055,126.4716549,2018-08-17
"공중화장실",누웨마루거리(바오젠거리),제주특별자치도 제주시 신대로12길 54,,N,2,2,1,0,0,0,4,1,0,제주시 연동,064-728-8233,24시간,,33.48894525,126.4908989,2018-08-17
"공중화장실",느지리오름입구,제주특별자치도 제주시 한림읍 상명리 산 5,제주특별자치도 제주시 한림읍 상명리 산 5,N,1,2,0,0,0,0,2,0,0,제주시 한림읍,064-728-7656,24시간,,33.36536754,126.2613103,2018-08-17
"공중화장실",다락쉼터,제주특별자치도 제주시 애월읍 고내리 461-1,제주특별자치도 제주시 애월읍 고내리 461-1,N,3,3,1,1,0,0,6,1,0,제주시 한림읍,064-728-7656,24시간,,33.47023507,126.3410069,2018-08-17
"공중화장실",다려도,제주특별자치도 제주시 조천읍 북촌리 산 88,제주특별자치도 제주시 조천읍 북촌리 산 88,N,1,0,0,0,0,0,1,0,0,제주시 조천읍,064-728-7863,24시간,,33.55620518,126.6944166,2018-08-17
"공중화장실",다이빙지상훈련장,제주특별자치도 제주시 서광로2길 24,,N,2,2,0,0,0,0,2,0,0,제주시 체육진흥과,064-728-3273,09:00~18:00,,33.49506069,126.5188028,2018-08-17
"공중화장실",닭머루,제주특별자치도 제주시 조천읍 신촌리 3403,제주특별자치도 제주시 조천읍 신촌리 3403,N,1,1,0,0,0,0,2,0,0,제주시 조천읍,064-728-7863,24시간,,33.53676194,126.6126173,2018-08-17
"공중화장실",당오름,제주특별자치도 제주시 구좌읍 송당리 산 201-1,제주특별자치도 제주시 구좌읍 송당리 산 201-1,N,1,1,0,0,0,0,1,0,0,제주시 구좌읍,064-728-7745,24시간,,33.46715324,126.7811779,2018-08-17
"공중화장실",대서광장,제주특별자치도 제주시 추자면 대서리 147-16,제주특별자치도 제주시 추자면 대서리 147-16,N,1,2,1,1,0,0,2,1,0,제주시 추자면,064-728-4282,24시간,,33.96202089,126.2942577,2018-08-17
"공중화장실",도두봉공원화장실,제주특별자치도 제주시 도두항길 4-17,,N,2,2,1,1,0,0,2,1,0,제주시 도두동,064-728-4962,24시간,,33.50676738,126.4672255,2018-08-17
"공중화장실",도두봉근린공원,제주특별자치도 제주시 도두항길 4-17,,N,3,2,1,1,0,0,5,1,0,제주시 공원녹지과,064-728-3605,24시간,,33.50676738,126.4672255,2018-08-17
"공중화장실",도두봉섬머리,제주특별자치도 제주시 서해안로 197,,N,2,2,1,1,0,0,4,1,0,제주시 도두동,064-728-4962,24시간,,33.50603203,126.4690034,2018-08-17
"공중화장실",도두오래물,제주특별자치도 제주시 서해안로 170,,N,2,2,1,1,0,0,3,1,0,제주시 도두동,064-728-4962,24시간,,33.50431034,126.4668383,2018-08-17
"공중화장실",도항선 대합실,제주특별자치도 제주시 우도면  연평리 1737-13,제주특별자치도 제주시 우도면  연평리 1737-13,N,2,3,1,1,0,0,2,1,0,제주시 우도면,064-728-4342,12시간,,33.49280985,126.9515417,2018-08-17
"공중화장실",동동포구,제주특별자치도 제주시 조천읍 신촌리 533-3,제주특별자치도 제주시 조천읍 신촌리 533-3,N,1,1,0,0,0,0,2,0,0,제주시 조천읍,064-728-7863,24시간,,33.53782714,126.6248737,2018-08-17
"공중화장실",동문공설시장,제주특별자치도 제주시 일도1동 1103,제주특별자치도 제주시 일도1동 1103,N,2,3,1,1,0,0,3,1,0,제주시 지역경제과,064-728-2822,24시간,,33.51208696,126.5282748,2018-08-17
"공중화장실",동문공설시장,제주특별자치도 제주시 일도1동 1103,제주특별자치도 제주시 일도1동 1103,N,2,5,1,1,0,0,5,1,0,제주시 지역경제과,064-728-2822,24시간,,33.51208696,126.5282748,2018-08-17
"공중화장실",동문수산시장,제주특별자치도 제주시 이도1동 1349-44,제주특별자치도 제주시 이도1동 1349-44,N,2,2,1,1,0,0,5,1,0,제주시 지역경제과,064-728-2822,24시간,,33.51206497,126.5249065,2018-08-17
"공중화장실",동백동산(북),제주특별자치도 제주시 조천읍 선흘리 산 12,제주특별자치도 제주시 조천읍 선흘리 산 12,N,1,1,0,0,0,0,2,0,0,제주시 조천읍,064-728-7863,24시간,,33.51704697,126.7175544,2018-08-17
"공중화장실",동복마을운동장,제주특별자치도 제주시 구좌읍 동복리 산 56-14,제주특별자치도 제주시 구좌읍 동복리 산 56-14,N,1,1,0,0,0,0,1,0,0,제주시 구좌읍,064-728-7745,24시간,,33.54204949,126.7133204,2018-08-17
"공중화장실",동복어촌정주어항,제주특별자치도 제주시 구좌읍 동복리 1585-2,제주특별자치도 제주시 구좌읍 동복리 1585-2,N,2,1,1,1,0,0,2,1,0,제주시 구좌읍,064-728-7745,24시간,,33.55509371,126.7140103,2018-08-17
"공중화장실",두모리포구,제주특별자치도 제주시 한경면 두모11길 51,,N,1,0,0,0,0,0,1,0,0,제주시 한경면,064-728-7952,24시간,,33.35690135,126.1825176,2018-08-17
"공중화장실",등대공원,제주특별자치도 제주시 추자면 영흥4길 46,,N,1,1,0,0,0,0,1,0,0,제주시 추자면,064-728-4282,24시간,,33.95803951,126.2983939,2018-08-17
"공중화장실",레포츠공원,제주특별자치도 제주시 용담2동 1089,제주특별자치도 제주시 용담2동 1089,N,5,4,1,1,0,0,7,1,0,제주시 용담2동,064-728-4631,24시간,,33.51823268,126.4994431,2018-08-17
"공중화장실",마리여다리,제주특별자치도 제주시 한경면 신창리 1481-16,제주특별자치도 제주시 한경면 신창리 1481-16,N,1,1,0,0,0,0,2,0,0,제주시 한경면,064-728-7952,24시간,,33.488216,126.497722,2018-08-17
"공중화장실",메지박,제주특별자치도 제주시 추자면 대서리 365,제주특별자치도 제주시 추자면 대서리 365,N,1,1,0,0,0,0,1,0,0,제주시 추자면,064-728-4282,24시간,,33.9646256,126.2857777,2018-08-17
"공중화장실",면수동해녀탈의장,제주특별자치도 제주시 구좌읍 하도리 3140-2,제주특별자치도 제주시 구좌읍 하도리 3140-2,N,1,1,0,0,0,0,1,0,0,제주시 구좌읍,064-728-7745,24시간,,33.52856921,126.8665483,2018-08-17
"공중화장실",모진이,제주특별자치도 제주시 추자면 신양리 979 지선,제주특별자치도 제주시 추자면 신양리 979 지선,N,1,2,1,1,0,0,2,1,0,제주시 추자면,064-728-4282,24시간,,33.94922111,126.3305339,2018-08-17
"공중화장실",모충사,제주특별자치도 제주시 사라봉길 75,,N,3,4,1,1,0,0,4,0,0,제주시 주민복지과,064-728-2514,24시간,,33.51619369,126.5470089,2018-08-17
"공중화장실",목게,제주특별자치도 제주시 추자면 대서리 산 186,제주특별자치도 제주시 추자면 대서리 산 186,N,1,1,0,0,0,0,2,0,0,제주시 추자면,064-728-4282,24시간,,33.96128601,126.2867751,2018-08-17
"공중화장실",목지코지,제주특별자치도 제주시 구좌읍 김녕리 6147,제주특별자치도 제주시 구좌읍 김녕리 6147,N,1,1,0,0,0,0,2,0,0,제주시 구좌읍,064-728-7745,24시간,,33.55989186,126.7299097,2018-08-17
"공중화장실",묵리,제주특별자치도 제주시 추자면 묵리 731-5,제주특별자치도 제주시 추자면 묵리 731-5,N,1,1,0,0,0,0,2,0,0,제주시 추자면,064-728-4282,24시간,,33.488216,126.497722,2018-08-17
"공중화장실",문도지오름,제주특별자치도 제주시 한경면 저지리 2181,제주특별자치도 제주시 한경면 저지리 2181,N,1,2,0,0,0,0,3,0,0,제주시 한경면,064-728-7952,24시간,,33.33458452,126.2758948,2018-08-17
"공중화장실",미리내공원,제주특별자치도 제주시 노형동 미리내길 84,,N,1,1,1,0,0,0,2,1,0,제주시 체육진흥과,064-728-3273,08:00~18:00,,33.45837318,126.4791018,2018-08-17
"공중화장실",미수동포구,제주특별자치도 제주시 애월읍 하귀2리 1656-6지선,제주특별자치도 제주시 애월읍 하귀2리 1656-6지선,N,1,0,0,0,0,0,1,0,0,제주시 애월읍,064-728-8848,24시간,,33.48475525,126.4018312,2018-08-17
"공중화장실",바리메오름주차장,제주특별자치도 제주시 애월읍 어음리 산 21,제주특별자치도 제주시 애월읍 어음리 산 21,N,1,1,0,0,0,0,2,0,0,제주시 애월읍,064-728-8848,24시간,,33.37833927,126.3875202,2018-08-17
"공중화장실",방선문,제주특별자치도 제주시 오라2동 3819-11,제주특별자치도 제주시 오라2동 3819-11,N,1,1,0,0,0,0,2,0,0,제주시 오라동,064-728-4818,24시간,,33.488216,126.497722,2018-08-17
"공중화장실",백포어촌정주어항,제주특별자치도 제주시 서해안로 99,,N,1,2,0,0,0,0,2,0,0,제주시 이호동,064-728-4935,24시간,,33.5038477,126.4593349,2018-08-17
"공중화장실",버스회차지,제주특별자치도 제주시 삼양1동 1579-1,제주특별자치도 제주시 삼양1동 1579-1,N,1,1,0,0,0,0,1,0,0,제주시 삼양동,064-728-8177,24시간,,33.52949611,126.5934961,2018-08-17
"공중화장실",법원북측 공영주차장,제주특별자치도 제주시 이도2동 1066,제주특별자치도 제주시 이도2동 1066,N,1,1,0,0,0,0,2,0,0,제주시 차량관리과,064-728-3246,"09:00~19:00토, 공휴일 개방",,33.49472486,126.5353153,2018-08-17
"공중화장실",별도봉산책로,제주특별자치도 제주시 화북1동 4517,제주특별자치도 제주시 화북1동 4517,N,1,1,0,0,0,0,2,0,0,제주시 화북동,064-728-8157,24시간,,33.5183615,126.5573918,2018-08-17
"공중화장실",봉글레산,제주특별자치도 제주시 추자면 대서리 산 175,제주특별자치도 제주시 추자면 대서리 산 175,Y,0,1,0,0,0,0,1,0,0,제주시 추자면,064-728-4282,24시간,,33.96399195,126.2901288,2018-08-17
"공중화장실",북촌어촌정주어항,제주특별자치도 제주시 조천읍 북촌리 1363-4지선,제주특별자치도 제주시 조천읍 북촌리 1363-4지선,N,1,1,1,0,0,0,1,0,0,제주시 조천읍,064-728-7863,24시간,,33.55090335,126.6935163,2018-08-17
"공중화장실",비양도공중화장실,제주특별자치도 제주시 한림읍 협재리 산 117-1,제주특별자치도 제주시 한림읍 협재리 산 117-1,N,1,1,1,0,0,0,2,1,0,제주시 한림읍,064-728-7656,24시간,,33.41190228,126.2279521,2018-08-17
